PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20180108,TSLA,TESLA INC,336.41000,0.062638,15
93436,20180109,TSLA,TESLA INC,333.69000,-0.008085,15
93436,20180110,TSLA,TESLA INC,334.79999,0.003326,15
93436,20180111,TSLA,TESLA INC,337.95001,0.009409,15
93436,20180112,TSLA,TESLA INC,336.22000,-0.005119,15
93436,20180116,TSLA,TESLA INC,340.06000,0.011421,15
93436,20180117,TSLA,TESLA INC,347.16000,0.020879,15
93436,20180118,TSLA,TESLA INC,344.57001,-0.007461,15
93436,20180119,TSLA,TESLA INC,350.01999,0.015817,15
93436,20180122,TSLA,TESLA INC,351.56000,0.004400,15
93436,20180123,TSLA,TESLA INC,352.79001,0.003499,15
93436,20180124,TSLA,TESLA INC,345.89001,-0.019558,15
93436,20180125,TSLA,TESLA INC,337.64001,-0.023852,15
93436,20180126,TSLA,TESLA INC,342.85001,0.015431,15
93436,20180129,TSLA,TESLA INC,349.53000,0.019484,15
93436,20180130,TSLA,TESLA INC,345.82001,-0.010614,15
93436,20180131,TSLA,TESLA INC,354.31000,0.024550,15
93436,20180201,TSLA,TESLA INC,349.25000,-0.014281,15
93436,20180202,TSLA,TESLA INC,343.75000,-0.015748,15
93436,20180205,TSLA,TESLA INC,333.13000,-0.030895,15
93436,20180206,TSLA,TESLA INC,333.97000,0.002522,15
93436,20180207,TSLA,TESLA INC,345.00000,0.033027,15
93436,20180208,TSLA,TESLA INC,315.23001,-0.086290,15
93436,20180209,TSLA,TESLA INC,310.42001,-0.015259,15
93436,20180212,TSLA,TESLA INC,315.73001,0.017106,15
93436,20180213,TSLA,TESLA INC,323.66000,0.025116,15
93436,20180214,TSLA,TESLA INC,322.31000,-0.004171,15
93436,20180215,TSLA,TESLA INC,334.06500,0.036471,15
93436,20180216,TSLA,TESLA INC,335.48999,0.004266,15
93436,20180220,TSLA,TESLA INC,334.76999,-0.002146,15
93436,20180221,TSLA,TESLA INC,333.29999,-0.004391,15
93436,20180222,TSLA,TESLA INC,346.17001,0.038614,15
93436,20180223,TSLA,TESLA INC,352.04999,0.016986,15
93436,20180226,TSLA,TESLA INC,357.42001,0.015254,15
93436,20180227,TSLA,TESLA INC,350.98999,-0.017990,15
93436,20180228,TSLA,TESLA INC,343.06000,-0.022593,15
93436,20180301,TSLA,TESLA INC,330.92999,-0.035358,15
93436,20180302,TSLA,TESLA INC,335.12000,0.012661,15
93436,20180305,TSLA,TESLA INC,333.35001,-0.005282,15
93436,20180306,TSLA,TESLA INC,328.20001,-0.015449,15
93436,20180307,TSLA,TESLA INC,332.29999,0.012492,15
93436,20180308,TSLA,TESLA INC,329.10001,-0.009630,15
93436,20180309,TSLA,TESLA INC,327.17001,-0.005864,15
93436,20180312,TSLA,TESLA INC,345.51001,0.056056,15
93436,20180313,TSLA,TESLA INC,341.84000,-0.010622,15
93436,20180314,TSLA,TESLA INC,326.63000,-0.044494,15
93436,20180315,TSLA,TESLA INC,325.60001,-0.003153,15
93436,20180316,TSLA,TESLA INC,321.35001,-0.013053,15
93436,20180319,TSLA,TESLA INC,313.56000,-0.024242,15
93436,20180320,TSLA,TESLA INC,310.54999,-0.009599,15
93436,20180321,TSLA,TESLA INC,316.53000,0.019256,15
93436,20180322,TSLA,TESLA INC,309.10001,-0.023473,15
93436,20180323,TSLA,TESLA INC,301.54001,-0.024458,15
93436,20180326,TSLA,TESLA INC,304.17999,0.008755,15
93436,20180327,TSLA,TESLA INC,279.17999,-0.082188,15
